Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address
1/22/2026,1,"""Dancing With The Stars Live""","Live Nation, NS2",2437,240628.9,2437.0,1.0,59.5,129.5,98.74,Theater ,2437,240628.9,"Akron Civic Theatre, Akron, United States"
1/22/2026,1,Now Rave ,"Live Nation, NS2",379,7817.5,675.0,0.56,17.0,22.5,20.63,Club,379,7817.5,"Music Farm, Charleston, United States"
1/22/2026,1,Superheaven,Live Nation / Gaiety Investments (MCD Productions),753,33146.09,850.0,0.88,44.08,44.08,44.02,Theater ,753,33146.09,"The Academy, Dublin, Ireland"
1/22/2026,1,The Last Dinner Party,Live Nation,1704,85290.54,3573.0,0.47,50.06,50.06,50.05,Arena,1704,85290.54,"Spark Arena, Auckland, New Zealand"
1/22/2026,1,Xavi,"Live Nation, Seattle Theatre Group",2121,152902.75,2631.0,0.8,39.5,129.5,72.09,Theater ,2121,152902.75,"Paramount Theatre, Seattle, United States"
1/22/2026,1,Morrissey,Live Nation,3496,352687.5,3496.0,1.0,73.5,136.5,100.88,Theater ,3496,352687.5,"Hard Rock Live Hollywood, Hollywood, United States"
1/23/2026,1,Joanne McNally,Live Nation / Gaiety Investments (MCD Productions),1941,107120.34,1950.0,0.99,53.85,61.95,55.19,Theater ,1941,107120.34,"Waterfront Hall, Belfast, United Kingdom"
1/23/2026,1,Keith Barry,Live Nation / Gaiety Investments (MCD Productions),200,10199.0,200.0,1.0,50.99,50.99,51.0,Theater ,200,10199.0,"Cork Opera House, Cork, Ireland"
1/23/2026,1,Newton Faulkner,Live Nation / Gaiety Investments (MCD Productions),344,12457.35,400.0,0.86,36.19,36.19,36.21,Theater ,344,12457.35,"Ambassador Theatre, Dublin, Ireland"
1/23/2026,1,Joanne McNally,Live Nation / Gaiety Investments (MCD Productions),592,33030.96,592.0,1.0,55.74,55.74,55.8,Theater ,592,33030.96,"Waterfront Hall, Belfast, United Kingdom"
1/23/2026,1,Silvana Estrada,"Mario Dzul, OCESA",2296,128080.11,2384.0,0.96,22.92,83.1,55.78,Theater ,2296,128080.11,"Teatro Diana, Guadalajara, Mexico"
1/23/2026,1,Xavier Naidoo,Live Nation,11000,1291207.18,11064.0,0.99,93.88,140.88,117.38,Arena,11000,1291207.18,"SAP Arena, Mannheim, Germany"
1/23/2026,3,Bad Bunny,"OCESA, Páramo Presenta",48495,8153298.43,50347.0,0.96,40.71,628.4,168.12,Stadium,145487,24459895.29,"Estadio Atanasio Girardot, Medellin, Colombia"
1/23/2026,1,Rainbow Kitten Surprise,Live Nation,1972,104003.09,1972.0,1.0,52.74,52.74,52.74,Club,1972,104003.09,"Forum Melbourne, Melbourne, Australia"
1/23/2026,1,Slaughter To Prevail,Live Nation,2209,123139.97,7063.0,0.31,29.37,58.75,55.74,Theater ,2209,123139.97,"Mitsubishi Electric Halle, Dusseldorf, Germany"
1/23/2026,1,Fly By Midnight,Live Nation,600,22752.14,750.0,0.8,34.83,82.77,37.92,Club,600,22752.14,"Corner Hotel, Richmond, Australia"
1/23/2026,1,Eagles,Live Nation,16384,4612140.45,16384.0,1.0,120.0,311.0,281.5,Arena,16384,4612140.45,"Sphere, Las Vegas, United States"
1/23/2026,1,What The Dance Presents: NDVST: Perreo Bowl,"Live Nation, NS2",672,15050.0,672.0,1.0,15.0,25.0,22.4,Club,672,15050.0,"Music Farm, Charleston, United States"
1/23/2026,2,Wanda Sykes,"Bill Blumenreich Presents, Live Nation",1155,97004.88,1582.0,0.73,48.5,123.49,83.99,Theater ,2310,194009.76,"The Palazzo Theatre, Las Vegas, United States"
1/23/2026,1,Jessie J,"Live Nation, Union Stage Presents",1017,52875.5,1200.0,0.84,39.5,60.0,51.99,Club,1017,52875.5,"The Howard Theatre, Washington, United States"
1/23/2026,1,Musiq Soulchild,Live Nation,3738,311111.83,4007.0,0.93,60.0,179.5,83.23,Theater ,3738,311111.83,"YouTube Theater, Inglewood, United States"
1/23/2026,3,Jarlath Regan,Live Nation / Gaiety Investments (MCD Productions),1205,42050.07,1298.0,0.92,34.9,34.9,34.88,Theater ,3617,126150.2,"3Olympia Theatre, Dublin, Ireland"
1/23/2026,1,JMSN,Live Nation,910,26138.0,1300.0,0.7,7.5,38.0,28.72,Theater ,910,26138.0,"The Belasco, Los Angeles, United States"
1/23/2026,1,Breathe,Live Nation / Gaiety Investments (MCD Productions),676,27403.34,850.0,0.79,40.54,40.54,40.54,Theater ,676,27403.34,"The Academy, Dublin, Ireland"
1/24/2026,1,"""The Fast Show""",Live Nation / Gaiety Investments (MCD Productions),1988,113019.04,2087.0,0.95,56.89,56.89,56.85,Theater ,1988,113019.04,"Bord Gáis Energy Theatre, Dublin, Ireland"
